Reference Area,Time Period,Sex,Age group,Unit of measurement,Nature,Value
Portugal,2014,Female,<18,Number,Not Available,3
Portugal,2014,Female,18+,Number,Not Available,16
Portugal,2014,Male,<18,Number,Not Available,1
Portugal,2014,Male,18+,Number,Not Available,13
Republic of Moldova,2014,Female,<18,Number,Not Available,23
Republic of Moldova,2014,Female,18+,Number,Not Available,152
Republic of Moldova,2014,Male,<18,Number,Not Available,3
Republic of Moldova,2014,Male,18+,Number,Not Available,86
Romania,2014,Female,<18,Number,Not Available,280
Romania,2014,Female,18+,Number,Not Available,283
Romania,2014,Male,<18,Number,Not Available,10
Romania,2014,Male,18+,Number,Not Available,184
Serbia,2014,Female,<18,Number,Not Available,16
Serbia,2014,Female,18+,Number,Not Available,8
Serbia,2014,Male,<18,Number,Not Available,3
Serbia,2014,Male,18+,Number,Not Available,98
Slovakia,2014,Female,18+,Number,Not Available,22
Slovakia,2014,Male,18+,Number,Not Available,12
Slovenia,2014,Female,<18,Number,Not Available,1
Slovenia,2014,Female,18+,Number,Not Available,3
Slovenia,2014,Male,18+,Number,Not Available,1
Spain,2014,Female,<18,Number,Not Available,29
Spain,2014,Female,18+,Number,Not Available,165
Spain,2014,Male,<18,Number,Not Available,12
Spain,2014,Male,18+,Number,Not Available,91
Sweden,2014,Female,18+,Number,Not Available,2
Sweden,2014,Male,18+,Number,Not Available,2
Switzerland,2014,Female,<18,Number,Not Available,1
Switzerland,2014,Female,18+,Number,Not Available,8
Switzerland,2014,Male,<18,Number,Not Available,1
Switzerland,2014,Male,18+,Number,Not Available,23
Tajikistan,2014,Female,<18,Number,Not Available,13
Tajikistan,2014,Female,18+,Number,Not Available,2
Tajikistan,2014,Male,<18,Number,Not Available,1
Tajikistan,2014,Male,18+,Number,Not Available,4
Thailand,2014,Female,<18,Number,Not Available,90
Thailand,2014,Female,18+,Number,Not Available,26
Thailand,2014,Male,<18,Number,Not Available,48
Thailand,2014,Male,18+,Number,Not Available,139
The former Yugoslav Republic of Macedonia,2014,Female,<18,Number,Not Available,6
The former Yugoslav Republic of Macedonia,2014,Female,18+,Number,Not Available,1
The former Yugoslav Republic of Macedonia,2014,Male,18+,Number,Not Available,1
Trinidad and Tobago,2014,Female,18+,Number,Not Available,4
Trinidad and Tobago,2014,Male,18+,Number,Not Available,1
Turkey,2014,Female,<18,Number,Not Available,2
Turkey,2014,Female,18+,Number,Not Available,48
Uganda,2014,Female,<18,Number,Not Available,1
Uganda,2014,Female,18+,Number,Not Available,60
Uganda,2014,Male,<18,Number,Not Available,1
Uganda,2014,Male,18+,Number,Not Available,17
United Kingdom of Great Britain and Northern Ireland,2014,Female,<18,Number,Not Available,148
United Kingdom of Great Britain and Northern Ireland,2014,Female,18+,Number,Not Available,278
United Kingdom of Great Britain and Northern Ireland,2014,Male,<18,Number,Not Available,80
United Kingdom of Great Britain and Northern Ireland,2014,Male,18+,Number,Not Available,271
United States of America,2014,Female,<18,Number,Not Available,510
United States of America,2014,Female,18+,Number,Not Available,2003
United States of America,2014,Male,<18,Number,Not Available,55
United States of America,2014,Male,18+,Number,Not Available,736
Uruguay,2014,Female,18+,Number,Not Available,108
Uzbekistan,2014,Female,<18,Number,Not Available,34
Uzbekistan,2014,Female,18+,Number,Not Available,380
Uzbekistan,2014,Male,<18,Number,Not Available,24
Uzbekistan,2014,Male,18+,Number,Not Available,770
Venezuela (Bolivarian Republic of),2014,Female,<18,Number,Not Available,4
Venezuela (Bolivarian Republic of),2014,Female,18+,Number,Not Available,2
Venezuela (Bolivarian Republic of),2014,Male,<18,Number,Not Available,2
Venezuela (Bolivarian Republic of),2014,Male,18+,Number,Not Available,9
